Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,32.500000,32.500000,29.270000,30.129999,30.129999,137200
2021-12-07,30.459999,32.500000,29.260000,29.940001,29.940001,124200
2021-12-08,30.160000,32.250000,30.000000,32.200001,32.200001,47900
2021-12-09,32.290001,34.480000,31.250000,32.910000,32.910000,101000
2021-12-10,33.419998,34.560001,30.270000,33.169998,33.169998,124400
2021-12-13,33.490002,34.490002,32.599998,32.910000,32.910000,99400
2021-12-14,32.990002,33.930000,32.099998,32.599998,32.599998,80000
2021-12-15,32.419998,33.840000,31.150000,33.720001,33.720001,81200
2021-12-16,33.930000,34.000000,31.180000,33.060001,33.060001,70700
2021-12-17,32.790001,34.500000,32.500000,34.400002,34.400002,53700
2021-12-20,33.980000,34.950001,33.060001,34.340000,34.340000,47700
2021-12-21,34.320000,36.779999,34.000000,35.299999,35.299999,101400
2021-12-22,35.110001,36.500000,33.009998,34.009998,34.009998,72200
2021-12-23,34.099998,37.709999,34.099998,36.790001,36.790001,103900
2021-12-27,37.000000,37.150002,34.430000,34.980000,34.980000,72500
2021-12-28,35.169998,35.660000,33.330002,33.650002,33.650002,35600
2021-12-29,33.660000,34.040001,32.860001,33.830002,33.830002,33900
2021-12-30,33.840000,34.410000,33.160000,33.259998,33.259998,32900
2021-12-31,33.450001,34.490002,33.330002,33.630001,33.630001,33300
2022-01-03,33.779999,33.950001,31.160000,33.590000,33.590000,74000
2022-01-04,33.650002,33.799999,32.250000,32.849998,32.849998,49600
2022-01-05,32.790001,33.669998,32.020000,32.230000,32.230000,48200
2022-01-06,32.070000,33.849998,31.639999,32.150002,32.150002,68900
2022-01-07,32.000000,33.509998,31.520000,31.820000,31.820000,38700
2022-01-10,31.950001,32.189999,28.930000,30.670000,30.670000,75400
2022-01-11,30.650000,32.610001,30.510000,31.750000,31.750000,65400
2022-01-12,31.840000,32.419998,30.150000,30.670000,30.670000,26700
2022-01-13,30.620001,31.200001,28.620001,29.190001,29.190001,103100
2022-01-14,28.830000,29.139999,25.400000,27.070000,27.070000,131300
2022-01-18,26.690001,28.990000,26.660000,28.799999,28.799999,83500
2022-01-19,28.879999,28.879999,25.760000,25.969999,25.969999,46200
2022-01-20,25.900000,27.150000,25.219999,25.219999,25.219999,30500
2022-01-21,25.139999,25.700001,24.360001,25.639999,25.639999,36800
2022-01-24,24.850000,26.620001,24.010000,26.090000,26.090000,54200
2022-01-25,25.910000,26.889999,24.530001,25.559999,25.559999,45200
2022-01-26,25.650000,28.709999,25.450001,27.000000,27.000000,55300
2022-01-27,27.139999,27.950001,25.580000,25.879999,25.879999,48200
2022-01-28,25.690001,26.160000,22.790001,24.330000,24.330000,94400
2022-01-31,24.340000,25.490000,24.330000,24.990000,24.990000,33900
2022-02-01,25.049999,26.629999,24.360001,26.389999,26.389999,45100
2022-02-02,26.660000,26.660000,24.799999,25.540001,25.540001,35900
2022-02-03,25.540001,25.540001,24.020000,24.209999,24.209999,26900
2022-02-04,24.100000,24.850000,23.620001,24.799999,24.799999,33300
2022-02-07,24.730000,25.820000,24.360001,25.160000,25.160000,27800
2022-02-08,25.040001,27.000000,24.150000,25.370001,25.370001,179700
2022-02-09,26.219999,26.219999,25.180000,25.250000,25.250000,34900
2022-02-10,26.000000,29.000000,24.610001,28.040001,28.040001,145000
2022-02-11,28.250000,28.930000,27.379999,28.730000,28.730000,78400
2022-02-14,28.750000,28.840000,27.600000,27.809999,27.809999,40300
2022-02-15,27.959999,28.990000,27.580000,28.600000,28.600000,52700
2022-02-16,28.450001,32.270000,28.000000,31.740000,31.740000,85100
2022-02-17,31.670000,31.940001,30.030001,31.360001,31.360001,76200
2022-02-18,31.290001,31.940001,30.190001,30.840000,30.840000,62500
2022-02-22,30.219999,30.219999,25.680000,26.700001,26.700001,88000
2022-02-23,26.870001,28.860001,26.110001,27.389999,27.389999,130100
2022-02-24,26.370001,27.010000,25.080000,26.270000,26.270000,59700
2022-02-25,26.570000,27.750000,26.270000,27.049999,27.049999,21700
