Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,56.250000,56.250000,53.250000,55.500000,55.500000,15078
2021-12-07,54.599998,59.250000,54.599998,58.500000,58.500000,12468
2021-12-08,58.650002,64.349998,57.599998,61.799999,61.799999,11631
2021-12-09,61.500000,62.700001,60.000000,60.450001,60.450001,7925
2021-12-10,60.299999,62.250000,57.299999,59.849998,59.849998,6984
2021-12-13,60.450001,60.450001,57.000000,57.000000,57.000000,8057
2021-12-14,57.000000,57.450001,54.599998,55.500000,55.500000,10129
2021-12-15,55.950001,60.000000,52.650002,60.000000,60.000000,10279
2021-12-16,60.599998,60.599998,56.250000,57.750000,57.750000,14129
2021-12-17,60.000000,62.250000,58.799999,62.099998,62.099998,19996
2021-12-20,61.950001,62.099998,59.250000,60.750000,60.750000,10901
2021-12-21,60.450001,63.599998,60.000000,62.549999,62.549999,16712
2021-12-22,60.150002,63.000000,60.150002,61.950001,61.950001,10945
2021-12-23,61.950001,63.750000,60.900002,62.549999,62.549999,13813
2021-12-27,63.000000,63.599998,62.549999,62.549999,62.549999,13097
2021-12-28,64.500000,64.500000,60.000000,60.000000,60.000000,12397
2021-12-29,60.000000,61.200001,55.349998,56.700001,56.700001,27927
2021-12-30,56.700001,58.500000,55.500000,57.150002,57.150002,14681
2021-12-31,57.599998,57.599998,54.450001,54.750000,54.750000,21329
2022-01-03,54.599998,57.450001,54.599998,56.849998,56.849998,9639
2022-01-04,58.349998,60.000000,56.700001,59.250000,59.250000,10477
2022-01-05,58.500000,58.500000,56.400002,56.700001,56.700001,7004
2022-01-06,58.349998,58.500000,54.750000,56.400002,56.400002,7742
2022-01-07,57.000000,57.000000,55.200001,55.799999,55.799999,3798
2022-01-10,56.250000,57.000000,52.650002,54.000000,54.000000,12539
2022-01-11,53.700001,55.500000,52.650002,54.150002,54.150002,9021
2022-01-12,54.750000,55.500000,52.650002,52.950001,52.950001,7660
2022-01-13,53.849998,53.849998,49.950001,50.549999,50.549999,18787
2022-01-14,49.950001,51.000000,45.900002,47.549999,47.549999,17049
2022-01-18,46.799999,46.950001,43.650002,46.500000,46.500000,21759
2022-01-19,46.500000,46.500000,41.700001,43.200001,43.200001,30180
2022-01-20,40.500000,46.500000,40.500000,43.500000,43.500000,12007
2022-01-21,43.500000,44.099998,40.500000,40.500000,40.500000,15089
2022-01-24,37.650002,40.500000,34.049999,36.599998,36.599998,25340
2022-01-25,37.500000,43.500000,37.500000,42.900002,42.900002,13607
2022-01-26,42.750000,42.900002,39.750000,40.049999,40.049999,7857
2022-01-27,43.349998,43.349998,39.000000,39.000000,39.000000,9877
2022-01-28,39.599998,40.500000,39.000000,39.450001,39.450001,4591
2022-01-31,43.500000,43.500000,40.500000,42.000000,42.000000,5008
2022-02-01,43.500000,45.000000,41.250000,43.950001,43.950001,14097
2022-02-02,43.950001,43.950001,41.250000,42.450001,42.450001,4116
2022-02-03,43.500000,43.500000,41.400002,41.700001,41.700001,4061
2022-02-04,40.500000,43.049999,40.500000,43.049999,43.049999,4160
2022-02-07,45.000000,45.000000,41.549999,42.000000,42.000000,4408
2022-02-08,42.000000,42.450001,40.950001,41.400002,41.400002,3371
2022-02-09,41.700001,42.000000,40.799999,41.549999,41.549999,4531
2022-02-10,42.000000,42.299999,39.750000,41.549999,41.549999,5760
2022-02-11,41.549999,42.299999,39.900002,40.349998,40.349998,7128
2022-02-14,40.349998,40.500000,37.500000,37.500000,37.500000,5925
2022-02-15,39.000000,39.299999,26.400000,30.000000,30.000000,217335
2022-02-16,27.450001,27.600000,22.799999,24.000000,24.000000,154303
2022-02-17,25.200001,25.799999,23.100000,23.850000,23.850000,97505
2022-02-18,23.850000,25.650000,22.950001,25.200001,25.200001,73857
2022-02-22,22.650000,23.700001,21.900000,23.100000,23.100000,38715
2022-02-23,22.500000,24.299999,22.500000,23.400000,23.400000,25923
2022-02-24,21.000000,23.250000,20.700001,23.100000,23.100000,40175
2022-02-25,23.100000,25.200001,22.500000,23.549999,23.549999,43438
2022-02-28,24.150000,27.750000,23.850000,26.850000,26.850000,70965
2022-03-01,27.000000,27.750000,25.049999,25.799999,25.799999,27638
2022-03-02,27.150000,30.450001,27.000000,29.100000,29.100000,120365
